,VACIO,ORIGEN-DESTINO,HORARIO,PRECIO,VENDIDO,xxx
0,,MADRID-PUERTA DE ATOCHA           - BARCELONA-SANTS,16:00          - 18:30          el 06/03/2020,97.65€,Vendido,
1,,MADRID-PUERTA DE ATOCHA           - BARCELONA-SANTS,20:00          - 22:30          el 12/04/2020,Gestionado por Truecalia,"63,51€",Vendido
2,,MADRID-PUERTA DE ATOCHA           - BARCELONA-SANTS,21:25          - 23:55          el 03/03/2020,45€,Vendido,
3,,MADRID-PUERTA DE ATOCHA           - BARCELONA-SANTS,19:00          - 21:30          el 09/04/2020,Gestionado por Truecalia,"50,12€",Comprar
4,,MADRID-PUERTA DE ATOCHA           - BARCELONA-SANTS,20:35          - 23:30          el 29/04/2020,25€,Más info,
5,,MADRID-PUERTA DE ATOCHA           - BARCELONA-SANTS,21:25          - 23:55          el 11/03/2020,40€,Vendido,
6,,MADRID-PUERTA DE ATOCHA           - BARCELONA-SANTS,20:30          - 23:40          el 03/03/2020,32.65€,Vendido,
7,,MADRID-PUERTA DE ATOCHA           - BARCELONA-SANTS,21:25          - 23:55          el 02/03/2020,40€,Vendido,
8,,MADRID-PUERTA DE ATOCHA           - BARCELONA-SANTS,06:10          - 08:40          el 16/03/2020,58€,Más info,
9,,MADRID-PUERTA DE ATOCHA           - BARCELONA-SANTS,20:30          - 23:40          el 09/03/2020,43.55€,Vendido,
